@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4348,'2025/11/05 13:11:46:937',26,0.482195,0.24834,0.62,0.44
4349,'2025/11/05 13:11:46:979',26,0.482353,0.248183,0.62,0.44
4350,'2025/11/05 13:11:47:018',26,0.482506,0.248303,0.62,0.44
4351,'2025/11/05 13:11:47:059',26,0.482616,0.248202,0.62,0.44
4352,'2025/11/05 13:11:47:102',26,0.482626,0.248287,0.62,0.44
4353,'2025/11/05 13:11:47:143',26,0.482824,0.248294,0.62,0.44
4354,'2025/11/05 13:11:47:183',26,0.482814,0.248238,0.62,0.44
4355,'2025/11/05 13:11:47:225',26,0.48287,0.248182,0.62,0.44
4356,'2025/11/05 13:11:47:265',26,0.482773,0.248111,0.62,0.44
4357,'2025/11/05 13:11:47:307',26,0.482658,0.248336,0.62,0.44
4358,'2025/11/05 13:11:47:349',26,0.482664,0.248295,0.62,0.44
4359,'2025/11/05 13:11:47:430',26,0.482671,0.248543,0.62,0.44
4360,'2025/11/05 13:11:47:472',26,0.482852,0.248338,0.62,0.44
4361,'2025/11/05 13:11:47:512',26,0.482828,0.24832,0.62,0.44
4362,'2025/11/05 13:11:47:552',26,0.482914,0.248399,0.62,0.44
4363,'2025/11/05 13:11:47:594',26,0.482964,0.247961,0.62,0.44
4364,'2025/11/05 13:11:47:634',26,0.483068,0.24837,0.62,0.44
4365,'2025/11/05 13:11:47:676',26,0.483072,0.248207,0.62,0.44
4366,'2025/11/05 13:11:47:717',26,0.483481,0.248783,0.62,0.44
4367,'2025/11/05 13:11:47:757',26,0.483269,0.248432,0.62,0.44
4368,'2025/11/05 13:11:47:798',26,0.483233,0.248604,0.62,0.44
4369,'2025/11/05 13:11:47:839',26,0.483495,0.248602,0.62,0.44
4370,'2025/11/05 13:11:47:880',26,0.483267,0.248652,0.62,0.44
4371,'2025/11/05 13:11:47:921',26,0.483453,0.248734,0.62,0.44
4372,'2025/11/05 13:11:47:962',26,0.483393,0.248579,0.62,0.44
4373,'2025/11/05 13:11:48:046',26,0.483279,0.249074,0.62,0.44
4374,'2025/11/05 13:11:48:082',26,0.483718,0.24892,0.62,0.44
4375,'2025/11/05 13:11:48:125',26,0.483712,0.249087,0.62,0.44
4376,'2025/11/05 13:11:48:167',26,0.483719,0.248517,0.62,0.44
4377,'2025/11/05 13:11:48:209',26,0.483935,0.248578,0.62,0.44
4378,'2025/11/05 13:11:48:250',26,0.48368,0.248694,0.62,0.44
4379,'2025/11/05 13:11:48:291',26,0.483722,0.248583,0.62,0.44
4380,'2025/11/05 13:11:48:331',26,0.483917,0.24867,0.62,0.44
4381,'2025/11/05 13:11:48:372',26,0.484302,0.248736,0.62,0.44
4382,'2025/11/05 13:11:48:413',26,0.484273,0.24933,0.62,0.44
4383,'2025/11/05 13:11:48:455',26,0.484549,0.249713,0.62,0.44
4384,'2025/11/05 13:11:48:495',26,0.484949,0.249817,0.62,0.44
4385,'2025/11/05 13:11:48:538',26,0.484816,0.250068,0.62,0.44
4386,'2025/11/05 13:11:48:620',26,0.484683,0.250541,0.62,0.44
4387,'2025/11/05 13:11:48:660',26,0.485195,0.250953,0.62,0.44
4388,'2025/11/05 13:11:48:702',26,0.485092,0.251153,0.62,0.44
4389,'2025/11/05 13:11:48:741',26,0.485099,0.251219,0.62,0.44
4390,'2025/11/05 13:11:48:782',26,0.485399,0.25023,0.62,0.44
4391,'2025/11/05 13:11:48:822',26,0.48534,0.249767,0.62,0.44
4392,'2025/11/05 13:11:48:864',26,0.485206,0.248933,0.62,0.44
4393,'2025/11/05 13:11:48:906',26,0.484932,0.24869,0.62,0.44
4394,'2025/11/05 13:11:48:945',26,0.484998,0.248773,0.62,0.44
4395,'2025/11/05 13:11:48:986',26,0.485079,0.249054,0.62,0.44
4396,'2025/11/05 13:11:49:027',26,0.485172,0.248779,0.62,0.44
4397,'2025/11/05 13:11:49:068',26,0.484894,0.248936,0.62,0.44
4398,'2025/11/05 13:11:49:111',26,0.485048,0.248472,0.62,0.44
4399,'2025/11/05 13:11:49:151',26,0.484852,0.248962,0.62,0.44
4400,'2025/11/05 13:11:49:234',26,0.484971,0.249148,0.62,0.44
4401,'2025/11/05 13:11:49:274',26,0.485095,0.248839,0.62,0.44
4402,'2025/11/05 13:11:49:315',26,0.484836,0.249076,0.62,0.44
4403,'2025/11/05 13:11:49:354',26,0.48508,0.249027,0.62,0.44
4404,'2025/11/05 13:11:49:394',26,0.485108,0.249471,0.62,0.44
4405,'2025/11/05 13:11:49:440',26,0.484915,0.249332,0.62,0.44
4406,'2025/11/05 13:11:49:479',26,0.485355,0.249308,0.62,0.44
4407,'2025/11/05 13:11:49:521',26,0.485253,0.249505,0.62,0.44
4408,'2025/11/05 13:11:49:563',26,0.485611,0.249453,0.62,0.44
4409,'2025/11/05 13:11:49:602',26,0.485411,0.249489,0.62,0.44
4410,'2025/11/05 13:11:49:644',26,0.485868,0.249752,0.62,0.44
4411,'2025/11/05 13:11:49:682',26,0.485724,0.249784,0.62,0.44
4412,'2025/11/05 13:11:49:726',26,0.485977,0.250322,0.62,0.44
4413,'2025/11/05 13:11:49:767',26,0.485964,0.25002,0.62,0.44
4414,'2025/11/05 13:11:49:852',26,0.485894,0.250051,0.62,0.44
4415,'2025/11/05 13:11:49:890',26,0.485698,0.250234,0.62,0.44
4416,'2025/11/05 13:11:49:929',26,0.48604,0.250086,0.62,0.44
4417,'2025/11/05 13:11:49:972',26,0.485753,0.250545,0.62,0.44
4418,'2025/11/05 13:11:50:012',26,0.485672,0.250825,0.62,0.44
4419,'2025/11/05 13:11:50:053',26,0.485592,0.250782,0.62,0.44
4420,'2025/11/05 13:11:50:095',26,0.485626,0.250793,0.62,0.44
4421,'2025/11/05 13:11:50:135',26,0.485709,0.250726,0.62,0.44
4422,'2025/11/05 13:11:50:177',26,0.485419,0.250419,0.62,0.44
4423,'2025/11/05 13:11:50:217',26,0.485433,0.250739,0.62,0.44
4424,'2025/11/05 13:11:50:259',26,0.485181,0.251507,0.62,0.44
4425,'2025/11/05 13:11:50:299',26,0.484718,0.25141,0.62,0.44
4426,'2025/11/05 13:11:50:341',26,0.484852,0.251689,0.62,0.44
4427,'2025/11/05 13:11:50:381',26,0.48449,0.251617,0.62,0.44
4428,'2025/11/05 13:11:50:464',26,0.484421,0.251562,0.62,0.44
