@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
4619,'2025/11/05 13:12:05:222',27,0.63846,0.245771,0.62,0.5
4620,'2025/11/05 13:12:05:263',27,0.638305,0.245677,0.62,0.5
4621,'2025/11/05 13:12:05:304',27,0.63857,0.245154,0.62,0.5
4622,'2025/11/05 13:12:05:346',27,0.63831,0.245526,0.62,0.5
4623,'2025/11/05 13:12:05:387',27,0.638377,0.245905,0.62,0.5
4624,'2025/11/05 13:12:05:429',27,0.638271,0.246046,0.62,0.5
4625,'2025/11/05 13:12:05:470',27,0.63833,0.245955,0.62,0.5
4626,'2025/11/05 13:12:05:511',27,0.638025,0.245618,0.62,0.5
4627,'2025/11/05 13:12:05:551',27,0.638041,0.245686,0.62,0.5
4628,'2025/11/05 13:12:05:592',27,0.638309,0.245549,0.62,0.5
4629,'2025/11/05 13:12:05:676',27,0.638101,0.245606,0.62,0.5
4630,'2025/11/05 13:12:05:715',27,0.637909,0.245318,0.62,0.5
4631,'2025/11/05 13:12:05:754',27,0.638074,0.245131,0.62,0.5
4632,'2025/11/05 13:12:05:798',27,0.638233,0.245416,0.62,0.5
4633,'2025/11/05 13:12:05:836',27,0.637863,0.24548,0.62,0.5
4634,'2025/11/05 13:12:05:879',27,0.637758,0.245371,0.62,0.5
4635,'2025/11/05 13:12:05:919',27,0.63806,0.245608,0.62,0.5
4636,'2025/11/05 13:12:05:961',27,0.638047,0.246122,0.62,0.5
4637,'2025/11/05 13:12:06:002',27,0.637793,0.245715,0.62,0.5
4638,'2025/11/05 13:12:06:044',27,0.637635,0.245834,0.62,0.5
4639,'2025/11/05 13:12:06:083',27,0.638088,0.246135,0.62,0.5
4640,'2025/11/05 13:12:06:125',27,0.637823,0.24631,0.62,0.5
4641,'2025/11/05 13:12:06:167',27,0.638062,0.246427,0.62,0.5
4642,'2025/11/05 13:12:06:208',27,0.63803,0.246017,0.62,0.5
4643,'2025/11/05 13:12:06:291',27,0.638233,0.245954,0.62,0.5
4644,'2025/11/05 13:12:06:330',27,0.638057,0.246683,0.62,0.5
4645,'2025/11/05 13:12:06:372',27,0.638295,0.246122,0.62,0.5
4646,'2025/11/05 13:12:06:413',27,0.638615,0.246,0.62,0.5
4647,'2025/11/05 13:12:06:452',27,0.638189,0.245919,0.62,0.5
4648,'2025/11/05 13:12:06:495',27,0.638131,0.246686,0.62,0.5
4649,'2025/11/05 13:12:06:535',27,0.637794,0.246268,0.62,0.5
4650,'2025/11/05 13:12:06:576',27,0.638151,0.246378,0.62,0.5
4651,'2025/11/05 13:12:06:615',27,0.637881,0.246949,0.62,0.5
4652,'2025/11/05 13:12:06:657',27,0.638158,0.246425,0.62,0.5
4653,'2025/11/05 13:12:06:699',27,0.638326,0.246547,0.62,0.5
4654,'2025/11/05 13:12:06:740',27,0.638207,0.246277,0.62,0.5
4655,'2025/11/05 13:12:06:781',27,0.638106,0.246422,0.62,0.5
4656,'2025/11/05 13:12:06:864',27,0.638234,0.246042,0.62,0.5
4657,'2025/11/05 13:12:06:904',27,0.637945,0.246067,0.62,0.5
4658,'2025/11/05 13:12:06:945',27,0.638134,0.24686,0.62,0.5
4659,'2025/11/05 13:12:06:986',27,0.638065,0.246757,0.62,0.5
4660,'2025/11/05 13:12:07:027',27,0.637839,0.247023,0.62,0.5
4661,'2025/11/05 13:12:07:067',27,0.637998,0.247082,0.62,0.5
4662,'2025/11/05 13:12:07:109',27,0.637853,0.247804,0.62,0.5
4663,'2025/11/05 13:12:07:150',27,0.637472,0.247995,0.62,0.5
4664,'2025/11/05 13:12:07:191',27,0.63785,0.24757,0.62,0.5
4665,'2025/11/05 13:12:07:232',27,0.637534,0.247814,0.62,0.5
4666,'2025/11/05 13:12:07:272',27,0.63751,0.247868,0.62,0.5
4667,'2025/11/05 13:12:07:314',27,0.637796,0.24764,0.62,0.5
4668,'2025/11/05 13:12:07:356',27,0.637535,0.248166,0.62,0.5
4669,'2025/11/05 13:12:07:397',27,0.637121,0.247688,0.62,0.5
4670,'2025/11/05 13:12:07:480',27,0.637166,0.247975,0.62,0.5
4671,'2025/11/05 13:12:07:519',27,0.637183,0.247479,0.62,0.5
4672,'2025/11/05 13:12:07:558',27,0.637181,0.247726,0.62,0.5
4673,'2025/11/05 13:12:07:602',27,0.637052,0.247531,0.62,0.5
4674,'2025/11/05 13:12:07:642',27,0.637349,0.247539,0.62,0.5
4675,'2025/11/05 13:12:07:683',27,0.63733,0.247257,0.62,0.5
4676,'2025/11/05 13:12:07:724',27,0.637362,0.247578,0.62,0.5
4677,'2025/11/05 13:12:07:765',27,0.637246,0.248028,0.62,0.5
4678,'2025/11/05 13:12:07:807',27,0.637763,0.247454,0.62,0.5
4679,'2025/11/05 13:12:07:846',27,0.637661,0.247783,0.62,0.5
4680,'2025/11/05 13:12:13:916',28,0.738084,0.24029,0.62,0.56
4681,'2025/11/05 13:12:13:956',28,0.73867,0.238773,0.62,0.56
4682,'2025/11/05 13:12:13:999',28,0.739059,0.238284,0.62,0.56
4683,'2025/11/05 13:12:14:038',28,0.739686,0.239196,0.62,0.56
4684,'2025/11/05 13:12:14:080',28,0.740564,0.239608,0.62,0.56
4685,'2025/11/05 13:12:14:120',28,0.741051,0.240305,0.62,0.56
4686,'2025/11/05 13:12:14:203',28,0.741986,0.24112,0.62,0.56
4687,'2025/11/05 13:12:14:243',28,0.743085,0.241273,0.62,0.56
4688,'2025/11/05 13:12:14:286',28,0.744099,0.240972,0.62,0.56
4689,'2025/11/05 13:12:14:324',28,0.74506,0.240716,0.62,0.56
4690,'2025/11/05 13:12:14:366',28,0.746437,0.240139,0.62,0.56
4691,'2025/11/05 13:12:14:408',28,0.747075,0.239155,0.62,0.56
4692,'2025/11/05 13:12:14:448',28,0.747784,0.237771,0.62,0.56
4693,'2025/11/05 13:12:14:489',28,0.748384,0.237161,0.62,0.56
4694,'2025/11/05 13:12:14:530',28,0.74938,0.236788,0.62,0.56
4695,'2025/11/05 13:12:14:571',28,0.750012,0.235979,0.62,0.56
4696,'2025/11/05 13:12:14:612',28,0.750851,0.23578,0.62,0.56
4697,'2025/11/05 13:12:14:653',28,0.751697,0.234647,0.62,0.56
4698,'2025/11/05 13:12:14:696',28,0.751697,0.233717,0.62,0.56
4699,'2025/11/05 13:12:14:735',28,0.751685,0.233685,0.62,0.56
4700,'2025/11/05 13:12:14:818',28,0.751935,0.234032,0.62,0.56
4701,'2025/11/05 13:12:14:857',28,0.751831,0.234116,0.62,0.56
4702,'2025/11/05 13:12:14:899',28,0.751551,0.233403,0.62,0.56
4703,'2025/11/05 13:12:14:939',28,0.751372,0.233433,0.62,0.56
4704,'2025/11/05 13:12:14:981',28,0.751665,0.233476,0.62,0.56
4705,'2025/11/05 13:12:15:023',28,0.75197,0.23377,0.62,0.56
4706,'2025/11/05 13:12:15:064',28,0.752236,0.233371,0.62,0.56
4707,'2025/11/05 13:12:15:104',28,0.752549,0.234043,0.62,0.56
4708,'2025/11/05 13:12:15:145',28,0.753101,0.234589,0.62,0.56
4709,'2025/11/05 13:12:15:187',28,0.753687,0.23374,0.62,0.56
4710,'2025/11/05 13:12:15:227',28,0.753841,0.234909,0.62,0.56
4711,'2025/11/05 13:12:15:267',28,0.754049,0.235004,0.62,0.56
4712,'2025/11/05 13:12:15:309',28,0.754279,0.234073,0.62,0.56
4713,'2025/11/05 13:12:15:352',28,0.753776,0.234949,0.62,0.56
4714,'2025/11/05 13:12:15:432',28,0.753967,0.235315,0.62,0.56
4715,'2025/11/05 13:12:15:473',28,0.7535,0.235511,0.62,0.56
4716,'2025/11/05 13:12:15:514',28,0.753224,0.235685,0.62,0.56
4717,'2025/11/05 13:12:15:555',28,0.753014,0.235885,0.62,0.56
4718,'2025/11/05 13:12:15:593',28,0.75266,0.235895,0.62,0.56
4719,'2025/11/05 13:12:15:636',28,0.752577,0.235412,0.62,0.56
4720,'2025/11/05 13:12:15:677',28,0.752629,0.235945,0.62,0.56
4721,'2025/11/05 13:12:15:718',28,0.75228,0.235995,0.62,0.56
4722,'2025/11/05 13:12:15:760',28,0.752434,0.236179,0.62,0.56
4723,'2025/11/05 13:12:15:801',28,0.751854,0.236028,0.62,0.56
4724,'2025/11/05 13:12:15:842',28,0.751369,0.236303,0.62,0.56
4725,'2025/11/05 13:12:15:883',28,0.751327,0.236584,0.62,0.56
4726,'2025/11/05 13:12:15:924',28,0.751082,0.236079,0.62,0.56
4727,'2025/11/05 13:12:15:966',28,0.750979,0.236397,0.62,0.56
4728,'2025/11/05 13:12:16:048',28,0.750757,0.236004,0.62,0.56
4729,'2025/11/05 13:12:16:088',28,0.750569,0.236323,0.62,0.56
4730,'2025/11/05 13:12:16:129',28,0.750347,0.236208,0.62,0.56
4731,'2025/11/05 13:12:16:170',28,0.750234,0.236794,0.62,0.56
4732,'2025/11/05 13:12:16:211',28,0.750169,0.23629,0.62,0.56
4733,'2025/11/05 13:12:16:252',28,0.749763,0.235626,0.62,0.56
4734,'2025/11/05 13:12:16:293',28,0.749736,0.23572,0.62,0.56
4735,'2025/11/05 13:12:16:334',28,0.749938,0.236112,0.62,0.56
4736,'2025/11/05 13:12:16:375',28,0.749512,0.236245,0.62,0.56
4737,'2025/11/05 13:12:16:415',28,0.749748,0.235939,0.62,0.56
4738,'2025/11/05 13:12:16:456',28,0.749407,0.235786,0.62,0.56
4739,'2025/11/05 13:12:16:499',28,0.749879,0.235654,0.62,0.56
4740,'2025/11/05 13:12:16:540',28,0.74996,0.235402,0.62,0.56
4741,'2025/11/05 13:12:16:581',28,0.749979,0.234741,0.62,0.56
4742,'2025/11/05 13:12:16:664',28,0.750342,0.235486,0.62,0.56
4743,'2025/11/05 13:12:16:703',28,0.750423,0.235384,0.62,0.56
4744,'2025/11/05 13:12:16:744',28,0.750383,0.235181,0.62,0.56
4745,'2025/11/05 13:12:16:785',28,0.750525,0.235671,0.62,0.56
4746,'2025/11/05 13:12:16:825',28,0.750436,0.234681,0.62,0.56
4747,'2025/11/05 13:12:16:862',28,0.750326,0.235197,0.62,0.56
4748,'2025/11/05 13:12:16:907',28,0.750313,0.234492,0.62,0.56
4749,'2025/11/05 13:12:16:949',28,0.750172,0.234988,0.62,0.56
4750,'2025/11/05 13:12:16:990',28,0.750195,0.234251,0.62,0.56
4751,'2025/11/05 13:12:17:032',28,0.750064,0.234782,0.62,0.56
4752,'2025/11/05 13:12:17:074',28,0.750273,0.234507,0.62,0.56
4753,'2025/11/05 13:12:17:113',28,0.750026,0.234554,0.62,0.56
4754,'2025/11/05 13:12:17:156',28,0.750047,0.234883,0.62,0.56
4755,'2025/11/05 13:12:17:235',28,0.749741,0.234716,0.62,0.56
4756,'2025/11/05 13:12:17:278',28,0.749697,0.234664,0.62,0.56
4757,'2025/11/05 13:12:17:318',28,0.749561,0.234946,0.62,0.56
4758,'2025/11/05 13:12:17:360',28,0.749712,0.234351,0.62,0.56
4759,'2025/11/05 13:12:17:401',28,0.749514,0.234593,0.62,0.56
4760,'2025/11/05 13:12:17:443',28,0.749436,0.234758,0.62,0.56
4761,'2025/11/05 13:12:17:482',28,0.749435,0.234347,0.62,0.56
4762,'2025/11/05 13:12:17:523',28,0.749209,0.234293,0.62,0.56
4763,'2025/11/05 13:12:17:565',28,0.749125,0.234465,0.62,0.56
4764,'2025/11/05 13:12:17:606',28,0.749,0.234421,0.62,0.56
4765,'2025/11/05 13:12:17:646',28,0.74892,0.234407,0.62,0.56
4766,'2025/11/05 13:12:17:687',28,0.748571,0.234367,0.62,0.56
4767,'2025/11/05 13:12:17:729',28,0.748462,0.234952,0.62,0.56
4768,'2025/11/05 13:12:17:770',28,0.748411,0.234424,0.62,0.56
4769,'2025/11/05 13:12:17:852',28,0.748804,0.233845,0.62,0.56
4770,'2025/11/05 13:12:17:892',28,0.748755,0.233931,0.62,0.56
4771,'2025/11/05 13:12:17:933',28,0.748149,0.233729,0.62,0.56
4772,'2025/11/05 13:12:17:973',28,0.748254,0.233971,0.62,0.56
4773,'2025/11/05 13:12:18:015',28,0.748704,0.233821,0.62,0.56
4774,'2025/11/05 13:12:18:056',28,0.748572,0.234304,0.62,0.56
4775,'2025/11/05 13:12:18:097',28,0.748489,0.234415,0.62,0.56
4776,'2025/11/05 13:12:18:138',28,0.748439,0.234825,0.62,0.56
4777,'2025/11/05 13:12:18:179',28,0.748124,0.234782,0.62,0.56
4778,'2025/11/05 13:12:18:221',28,0.748436,0.235133,0.62,0.56
4779,'2025/11/05 13:12:18:261',28,0.748149,0.23493,0.62,0.56
4780,'2025/11/05 13:12:18:303',28,0.748222,0.234687,0.62,0.56
4781,'2025/11/05 13:12:18:345',28,0.748182,0.23524,0.62,0.56
4782,'2025/11/05 13:12:18:385',28,0.748128,0.234918,0.62,0.56
4783,'2025/11/05 13:12:18:467',28,0.748136,0.235494,0.62,0.56
4784,'2025/11/05 13:12:18:507',28,0.748282,0.235757,0.62,0.56
4785,'2025/11/05 13:12:18:548',28,0.748098,0.235416,0.62,0.56
4786,'2025/11/05 13:12:18:589',28,0.748447,0.235647,0.62,0.56
4787,'2025/11/05 13:12:18:627',28,0.748054,0.235483,0.62,0.56
4788,'2025/11/05 13:12:18:669',28,0.74819,0.235852,0.62,0.56
4789,'2025/11/05 13:12:18:710',28,0.748232,0.235317,0.62,0.56
4790,'2025/11/05 13:12:18:753',28,0.748464,0.236004,0.62,0.56
4791,'2025/11/05 13:12:18:795',28,0.748204,0.235866,0.62,0.56
4792,'2025/11/05 13:12:18:835',28,0.748513,0.23562,0.62,0.56
4793,'2025/11/05 13:12:18:876',28,0.748476,0.235503,0.62,0.56
4794,'2025/11/05 13:12:18:918',28,0.748596,0.235396,0.62,0.56
4795,'2025/11/05 13:12:18:958',28,0.748582,0.235902,0.62,0.56
4796,'2025/11/05 13:12:18:999',28,0.748531,0.234961,0.62,0.56
4797,'2025/11/05 13:12:19:082',28,0.748573,0.235205,0.62,0.56
4798,'2025/11/05 13:12:19:123',28,0.748695,0.235396,0.62,0.56
4799,'2025/11/05 13:12:19:163',28,0.748893,0.235659,0.62,0.56
4800,'2025/11/05 13:12:19:204',28,0.748938,0.235529,0.62,0.56
4801,'2025/11/05 13:12:19:243',28,0.748526,0.235653,0.62,0.56
4802,'2025/11/05 13:12:19:287',28,0.748815,0.235393,0.62,0.56
4803,'2025/11/05 13:12:19:327',28,0.748829,0.235303,0.62,0.56
4804,'2025/11/05 13:12:19:369',28,0.748839,0.235157,0.62,0.56
4805,'2025/11/05 13:12:19:410',28,0.748714,0.235108,0.62,0.56
4806,'2025/11/05 13:12:19:450',28,0.748864,0.235003,0.62,0.56
4807,'2025/11/05 13:12:19:491',28,0.748806,0.234939,0.62,0.56
4808,'2025/11/05 13:12:19:533',28,0.748682,0.235151,0.62,0.56
4809,'2025/11/05 13:12:19:574',28,0.74862,0.235258,0.62,0.56
4810,'2025/11/05 13:12:19:614',28,0.748708,0.235346,0.62,0.56
4811,'2025/11/05 13:12:19:697',28,0.748482,0.2354,0.62,0.56
4812,'2025/11/05 13:12:19:736',28,0.748877,0.23545,0.62,0.56
4813,'2025/11/05 13:12:19:778',28,0.74879,0.235467,0.62,0.56
4814,'2025/11/05 13:12:19:820',28,0.748686,0.235492,0.62,0.56
4815,'2025/11/05 13:12:19:860',28,0.748748,0.235281,0.62,0.56
4816,'2025/11/05 13:12:19:901',28,0.748904,0.234716,0.62,0.56
4817,'2025/11/05 13:12:19:942',28,0.748861,0.234707,0.62,0.56
4818,'2025/11/05 13:12:19:984',28,0.748476,0.235231,0.62,0.56
4819,'2025/11/05 13:12:20:024',28,0.748937,0.235298,0.62,0.56
4820,'2025/11/05 13:12:20:065',28,0.748714,0.235431,0.62,0.56
4821,'2025/11/05 13:12:20:107',28,0.749087,0.235678,0.62,0.56
4822,'2025/11/05 13:12:20:146',28,0.748727,0.235559,0.62,0.56
4823,'2025/11/05 13:12:20:188',28,0.748703,0.235558,0.62,0.56
4824,'2025/11/05 13:12:20:229',28,0.748394,0.235784,0.62,0.56
4825,'2025/11/05 13:12:20:312',28,0.74796,0.235901,0.62,0.56
4826,'2025/11/05 13:12:20:352',28,0.748421,0.236663,0.62,0.56
4827,'2025/11/05 13:12:20:393',28,0.748218,0.236426,0.62,0.56
4828,'2025/11/05 13:12:20:434',28,0.747747,0.236358,0.62,0.56
4829,'2025/11/05 13:12:20:475',28,0.74768,0.23631,0.62,0.56
4830,'2025/11/05 13:12:20:517',28,0.74765,0.236579,0.62,0.56
4831,'2025/11/05 13:12:20:557',28,0.747793,0.236292,0.62,0.56
4832,'2025/11/05 13:12:20:599',28,0.74791,0.236498,0.62,0.56
4833,'2025/11/05 13:12:20:639',28,0.748084,0.236589,0.62,0.56
4834,'2025/11/05 13:12:20:681',28,0.748096,0.236516,0.62,0.56
4835,'2025/11/05 13:12:20:722',28,0.747981,0.236135,0.62,0.56
4836,'2025/11/05 13:12:20:763',28,0.748151,0.236456,0.62,0.56
4837,'2025/11/05 13:12:20:804',28,0.747916,0.236256,0.62,0.56
4838,'2025/11/05 13:12:20:845',28,0.747852,0.236111,0.62,0.56
4839,'2025/11/05 13:12:20:927',28,0.747446,0.236797,0.62,0.56
4840,'2025/11/05 13:12:20:966',28,0.74763,0.235924,0.62,0.56
4841,'2025/11/05 13:12:21:009',28,0.747726,0.23586,0.62,0.56
4842,'2025/11/05 13:12:21:049',28,0.747775,0.235881,0.62,0.56
4843,'2025/11/05 13:12:21:090',28,0.747894,0.235962,0.62,0.56
4844,'2025/11/05 13:12:21:130',28,0.747733,0.235551,0.62,0.56
4845,'2025/11/05 13:12:21:173',28,0.747689,0.23642,0.62,0.56
4846,'2025/11/05 13:12:21:213',28,0.747861,0.236323,0.62,0.56
4847,'2025/11/05 13:12:21:255',28,0.747774,0.236344,0.62,0.56
4848,'2025/11/05 13:12:21:296',28,0.747348,0.236097,0.62,0.56
4849,'2025/11/05 13:12:21:336',28,0.747497,0.236059,0.62,0.56
4850,'2025/11/05 13:12:21:378',28,0.747221,0.236066,0.62,0.56
4851,'2025/11/05 13:12:21:420',28,0.747372,0.236056,0.62,0.56
4852,'2025/11/05 13:12:21:501',28,0.746838,0.236655,0.62,0.56
4853,'2025/11/05 13:12:21:542',28,0.746962,0.236452,0.62,0.56
4854,'2025/11/05 13:12:21:582',28,0.746876,0.236736,0.62,0.56
4855,'2025/11/05 13:12:21:623',28,0.746955,0.236202,0.62,0.56
4856,'2025/11/05 13:12:21:664',28,0.746786,0.236165,0.62,0.56
4857,'2025/11/05 13:12:21:705',28,0.746784,0.23635,0.62,0.56
4858,'2025/11/05 13:12:21:746',28,0.746628,0.236341,0.62,0.56
4859,'2025/11/05 13:12:21:787',28,0.74662,0.236839,0.62,0.56
4860,'2025/11/05 13:12:21:825',28,0.746651,0.23657,0.62,0.56
4861,'2025/11/05 13:12:21:867',28,0.746525,0.236337,0.62,0.56
4862,'2025/11/05 13:12:21:910',28,0.746558,0.236556,0.62,0.56
4863,'2025/11/05 13:12:21:950',28,0.74676,0.236034,0.62,0.56
4864,'2025/11/05 13:12:21:993',28,0.746995,0.236225,0.62,0.56
4865,'2025/11/05 13:12:22:033',28,0.746675,0.236017,0.62,0.56
4866,'2025/11/05 13:12:22:118',28,0.746969,0.235621,0.62,0.56
4867,'2025/11/05 13:12:22:157',28,0.746957,0.236018,0.62,0.56
4868,'2025/11/05 13:12:22:197',28,0.746858,0.236658,0.62,0.56
4869,'2025/11/05 13:12:22:239',28,0.746879,0.236299,0.62,0.56
4870,'2025/11/05 13:12:22:279',28,0.746987,0.236013,0.62,0.56
4871,'2025/11/05 13:12:22:320',28,0.746787,0.236586,0.62,0.56
4872,'2025/11/05 13:12:22:361',28,0.747125,0.23627,0.62,0.56
4873,'2025/11/05 13:12:22:402',28,0.747054,0.236231,0.62,0.56
4874,'2025/11/05 13:12:22:443',28,0.747088,0.236681,0.62,0.56
4875,'2025/11/05 13:12:22:485',28,0.747014,0.236256,0.62,0.56
4876,'2025/11/05 13:12:22:527',28,0.747086,0.236633,0.62,0.56
4877,'2025/11/05 13:12:22:567',28,0.747171,0.236422,0.62,0.56
4878,'2025/11/05 13:12:22:607',28,0.746898,0.236205,0.62,0.56
4879,'2025/11/05 13:12:29:944',29,0.851748,0.224804,0.62,0.63
4880,'2025/11/05 13:12:29:988',29,0.852165,0.225216,0.62,0.63
4881,'2025/11/05 13:12:30:028',29,0.851826,0.226025,0.62,0.63
4882,'2025/11/05 13:12:30:111',29,0.85132,0.226327,0.62,0.63
4883,'2025/11/05 13:12:30:151',29,0.850781,0.226139,0.62,0.63
4884,'2025/11/05 13:12:30:189',29,0.850575,0.227289,0.62,0.63
4885,'2025/11/05 13:12:30:232',29,0.850351,0.22716,0.62,0.63
4886,'2025/11/05 13:12:30:274',29,0.850669,0.227736,0.62,0.63
4887,'2025/11/05 13:12:30:316',29,0.850599,0.227909,0.62,0.63
4888,'2025/11/05 13:12:30:355',29,0.850928,0.227515,0.62,0.63
4889,'2025/11/05 13:12:30:397',29,0.851155,0.22775,0.62,0.63
4890,'2025/11/05 13:12:30:438',29,0.851124,0.227468,0.62,0.63
4891,'2025/11/05 13:12:30:479',29,0.851475,0.227348,0.62,0.63
4892,'2025/11/05 13:12:30:521',29,0.851709,0.227358,0.62,0.63
4893,'2025/11/05 13:12:30:562',29,0.851745,0.227171,0.62,0.63
4894,'2025/11/05 13:12:30:601',29,0.851968,0.226966,0.62,0.63
4895,'2025/11/05 13:12:30:645',29,0.852514,0.227298,0.62,0.63
4896,'2025/11/05 13:12:30:727',29,0.8528,0.227043,0.62,0.63
4897,'2025/11/05 13:12:30:765',29,0.853148,0.227033,0.62,0.63
4898,'2025/11/05 13:12:30:807',29,0.853555,0.2266,0.62,0.63
4899,'2025/11/05 13:12:30:848',29,0.854024,0.226596,0.62,0.63
4900,'2025/11/05 13:12:30:888',29,0.854581,0.225615,0.62,0.63
4901,'2025/11/05 13:12:30:930',29,0.854605,0.225337,0.62,0.63
4902,'2025/11/05 13:12:30:972',29,0.854914,0.224692,0.62,0.63
4903,'2025/11/05 13:12:31:012',29,0.85541,0.224548,0.62,0.63
4904,'2025/11/05 13:12:31:053',29,0.855548,0.224838,0.62,0.63
4905,'2025/11/05 13:12:31:095',29,0.855742,0.224344,0.62,0.63
4906,'2025/11/05 13:12:31:135',29,0.855873,0.224319,0.62,0.63
4907,'2025/11/05 13:12:31:176',29,0.855747,0.223802,0.62,0.63
4908,'2025/11/05 13:12:31:217',29,0.855855,0.223661,0.62,0.63
4909,'2025/11/05 13:12:31:258',29,0.855847,0.222921,0.62,0.63
4910,'2025/11/05 13:12:31:342',29,0.85539,0.222746,0.62,0.63
4911,'2025/11/05 13:12:31:383',29,0.855247,0.222749,0.62,0.63
4912,'2025/11/05 13:12:31:423',29,0.855242,0.222397,0.62,0.63
4913,'2025/11/05 13:12:31:463',29,0.855035,0.223091,0.62,0.63
4914,'2025/11/05 13:12:31:504',29,0.855198,0.222679,0.62,0.63
4915,'2025/11/05 13:12:31:545',29,0.85489,0.222466,0.62,0.63
4916,'2025/11/05 13:12:31:586',29,0.854736,0.222881,0.62,0.63
4917,'2025/11/05 13:12:31:627',29,0.854678,0.222974,0.62,0.63
4918,'2025/11/05 13:12:31:668',29,0.8543,0.222997,0.62,0.63
4919,'2025/11/05 13:12:31:709',29,0.854027,0.22274,0.62,0.63
4920,'2025/11/05 13:12:31:750',29,0.853927,0.223095,0.62,0.63
4921,'2025/11/05 13:12:31:792',29,0.853884,0.222223,0.62,0.63
4922,'2025/11/05 13:12:31:833',29,0.85331,0.222901,0.62,0.63
4923,'2025/11/05 13:12:31:874',29,0.853316,0.222513,0.62,0.63
4924,'2025/11/05 13:12:31:956',29,0.853019,0.222403,0.62,0.63
4925,'2025/11/05 13:12:31:996',29,0.852995,0.222561,0.62,0.63
4926,'2025/11/05 13:12:32:037',29,0.853284,0.222646,0.62,0.63
4927,'2025/11/05 13:12:32:079',29,0.85327,0.22302,0.62,0.63
4928,'2025/11/05 13:12:32:120',29,0.853411,0.222891,0.62,0.63
4929,'2025/11/05 13:12:32:158',29,0.853211,0.223074,0.62,0.63
4930,'2025/11/05 13:12:32:199',29,0.853272,0.223038,0.62,0.63
4931,'2025/11/05 13:12:32:241',29,0.853136,0.222935,0.62,0.63
4932,'2025/11/05 13:12:32:284',29,0.852959,0.222989,0.62,0.63
4933,'2025/11/05 13:12:32:324',29,0.853248,0.223342,0.62,0.63
4934,'2025/11/05 13:12:32:366',29,0.853184,0.223412,0.62,0.63
4935,'2025/11/05 13:12:32:405',29,0.853131,0.223543,0.62,0.63
4936,'2025/11/05 13:12:32:444',29,0.853247,0.223173,0.62,0.63
4937,'2025/11/05 13:12:32:483',29,0.852931,0.223383,0.62,0.63
4938,'2025/11/05 13:12:32:566',29,0.853222,0.223186,0.62,0.63
4939,'2025/11/05 13:12:32:613',29,0.853445,0.223449,0.62,0.63
4940,'2025/11/05 13:12:32:654',29,0.853562,0.224029,0.62,0.63
4941,'2025/11/05 13:12:32:694',29,0.853649,0.223692,0.62,0.63
4942,'2025/11/05 13:12:32:735',29,0.854199,0.22335,0.62,0.63
4943,'2025/11/05 13:12:32:775',29,0.854085,0.223239,0.62,0.63
4944,'2025/11/05 13:12:32:816',29,0.854201,0.223785,0.62,0.63
4945,'2025/11/05 13:12:32:858',29,0.854288,0.223144,0.62,0.63
4946,'2025/11/05 13:12:32:898',29,0.854528,0.223384,0.62,0.63
4947,'2025/11/05 13:12:32:939',29,0.85414,0.223864,0.62,0.63
4948,'2025/11/05 13:12:32:978',29,0.854424,0.224102,0.62,0.63
4949,'2025/11/05 13:12:33:021',29,0.854363,0.223629,0.62,0.63
4950,'2025/11/05 13:12:33:063',29,0.854517,0.223354,0.62,0.63
4951,'2025/11/05 13:12:33:105',29,0.854175,0.223805,0.62,0.63
4952,'2025/11/05 13:12:33:187',29,0.854097,0.22372,0.62,0.63
4953,'2025/11/05 13:12:33:226',29,0.854269,0.223809,0.62,0.63
4954,'2025/11/05 13:12:33:267',29,0.854108,0.223654,0.62,0.63
4955,'2025/11/05 13:12:33:308',29,0.854092,0.223633,0.62,0.63
4956,'2025/11/05 13:12:33:350',29,0.854053,0.223637,0.62,0.63
4957,'2025/11/05 13:12:33:389',29,0.853949,0.22365,0.62,0.63
4958,'2025/11/05 13:12:33:432',29,0.853596,0.223406,0.62,0.63
4959,'2025/11/05 13:12:33:472',29,0.853707,0.22388,0.62,0.63
4960,'2025/11/05 13:12:33:513',29,0.853425,0.223844,0.62,0.63
4961,'2025/11/05 13:12:33:555',29,0.853614,0.223498,0.62,0.63
4962,'2025/11/05 13:12:33:596',29,0.853545,0.223997,0.62,0.63
4963,'2025/11/05 13:12:33:635',29,0.853527,0.223896,0.62,0.63
4964,'2025/11/05 13:12:33:677',29,0.853549,0.223922,0.62,0.63
4965,'2025/11/05 13:12:33:760',29,0.853453,0.224268,0.62,0.63
4966,'2025/11/05 13:12:33:800',29,0.853419,0.223677,0.62,0.63
4967,'2025/11/05 13:12:33:842',29,0.853408,0.223686,0.62,0.63
4968,'2025/11/05 13:12:33:881',29,0.853556,0.223645,0.62,0.63
4969,'2025/11/05 13:12:33:924',29,0.853523,0.224235,0.62,0.63
4970,'2025/11/05 13:12:33:964',29,0.853482,0.224139,0.62,0.63
4971,'2025/11/05 13:12:34:004',29,0.853671,0.224591,0.62,0.63
4972,'2025/11/05 13:12:34:047',29,0.853337,0.224654,0.62,0.63
4973,'2025/11/05 13:12:34:087',29,0.853475,0.22429,0.62,0.63
